"section","variable","level","overall","resistant_0","resistant_1"
"Header","N","","460","319","141"
"Continuous","Age, years","","61.5 (17.0)","61.6 (16.7)","61.5 (17.7)"
"Binary","Male sex","Yes","279 (60.7%)","194 (60.8%)","85 (60.3%)"
"Continuous","Charlson comorbidity index","","3.0 [1.0, 5.0]","3.0 [1.0, 5.0]","3.0 [1.0, 5.0]"
"Continuous","Baseline severity (L0 / SOFA)","","6.0 [4.0, 8.0]","6.0 [4.0, 8.0]","6.0 [4.0, 8.0]"
"Categorical","Country","Nepal","39 (8.5%)","26 (8.2%)","13 (9.2%)"
"Categorical","Country","Singapore","50 (10.9%)","45 (14.1%)","5 (3.5%)"
"Categorical","Country","Thailand","371 (80.7%)","248 (77.7%)","123 (87.2%)"
"Categorical","Site","NE001","39 (8.5%)","26 (8.2%)","13 (9.2%)"
"Categorical","Site","SG001","35 (7.6%)","30 (9.4%)","5 (3.5%)"
"Categorical","Site","SG002","15 (3.3%)","15 (4.7%)","0 (0.0%)"
"Categorical","Site","TH002","342 (74.3%)","229 (71.8%)","113 (80.1%)"
"Categorical","Site","TH015","14 (3.0%)","11 (3.4%)","3 (2.1%)"
"Categorical","Site","TH023","15 (3.3%)","8 (2.5%)","7 (5.0%)"
"Categorical","ICU type","Medical ICU","144 (31.3%)","96 (30.1%)","48 (34.0%)"
"Categorical","ICU type","Surgical ICU","316 (68.7%)","223 (69.9%)","93 (66.0%)"
"Categorical","Baseline bacteria group","Acinetobacter","100 (21.7%)","17 (5.3%)","83 (58.9%)"
"Categorical","Baseline bacteria group","Culture_neg","130 (28.3%)","129 (40.4%)","1 (0.7%)"
"Categorical","Baseline bacteria group","Klebsiella","114 (24.8%)","73 (22.9%)","41 (29.1%)"
"Categorical","Baseline bacteria group","Other","59 (12.8%)","58 (18.2%)","1 (0.7%)"
"Categorical","Baseline bacteria group","Pseudomonas","57 (12.4%)","42 (13.2%)","15 (10.6%)"
"Binary","Appropriate antibiotics on symptom day","Yes","0 (0.0%)","0 (0.0%)","0 (0.0%)"
"Binary","60-day mortality","Yes","169 (36.7%)","101 (31.7%)","68 (48.2%)"
