"A","M","n","day","proportion_within_A"
"0","0",127,0,0.398119122257053
"1","0",84,0,0.595744680851064
"0","1",192,0,0.601880877742947
"1","1",57,0,0.404255319148936
"0","0",84,1,0.263322884012539
"1","0",74,1,0.524822695035461
"0","1",235,1,0.736677115987461
"1","1",67,1,0.475177304964539
"0","0",55,2,0.172413793103448
"1","0",57,2,0.404255319148936
"0","1",264,2,0.827586206896552
"1","1",84,2,0.595744680851064
"0","0",35,3,0.109717868338558
"1","0",38,3,0.269503546099291
"0","1",284,3,0.890282131661442
"1","1",103,3,0.730496453900709
