"A","history","n","proportion_within_A"
"0","0000",35,0.109717868338558
"1","0000",37,0.26241134751773
"0","0001",19,0.0595611285266458
"1","0001",19,0.134751773049645
"0","0011",29,0.0909090909090909
"1","0011",18,0.127659574468085
"0","0111",44,0.137931034482759
"1","0111",10,0.0709219858156028
"0","1011",1,0.00313479623824451
"1","1011",0,0
"0","1101",1,0.00313479623824451
"1","1101",1,0.00709219858156028
"0","1110",0,0
"1","1110",1,0.00709219858156028
"0","1111",190,0.595611285266458
"1","1111",55,0.390070921985816
