"imputation","status","error_message","R_1_G1","R_1_G0","R_0_G0","TE","IDE","IIE"
1,"ok","",0.440130268014065,0.44199214910589,0.343652059506329,0.0964782085077354,0.0983400895995603,-0.00186188109182489
2,"ok","",0.439734240193405,0.441221826237403,0.340679553689512,0.0990546865038926,0.10054227254789,-0.00148758604399774
3,"ok","",0.442366015847784,0.443611466582068,0.343930503800922,0.0984355120468618,0.0996809627811462,-0.00124545073428439
4,"ok","",0.437821518888191,0.439499508839205,0.33822450431763,0.099597014570561,0.101275004521575,-0.00167798995101442
5,"ok","",0.442241147671114,0.443479270277627,0.34257307813279,0.0996680695383235,0.100906192144836,-0.0012381226065129
6,"ok","",0.43964028535407,0.440565053437837,0.342513979999337,0.097126305354733,0.0980510734385008,-0.000924768083767735
7,"ok","",0.438920412723333,0.441446209968818,0.338900609834786,0.100019802888547,0.102545600134032,-0.00252579724548535
8,"ok","",0.440607344881468,0.44111337102594,0.341548715868757,0.0990586290127102,0.0995646551571823,-0.000506026144472038
9,"ok","",0.440181931216018,0.442374697591393,0.342159093526901,0.0980228376891171,0.100215604064492,-0.00219276637537452
10,"ok","",0.442064326620877,0.44335313597867,0.341590895289327,0.10047343133155,0.101762240689343,-0.0012888093577928
